station name,station latitude,station longitude,use_count
1 Ave & E 110 St,40.79232719998061,-73.93830000002265,21451
1 Ave & E 16 St,40.73221853002765,-73.98165556989572,133781
1 Ave & E 18 St,40.73381219198739,-73.9805442094803,93775
1 Ave & E 30 St,40.74144387001541,-73.97536082005476,83286
1 Ave & E 44 St,40.750019859989,-73.96905301000189,58065
1 Ave & E 62 St,40.76122740003436,-73.96094022007215,78306
1 Ave & E 68 St,40.765005250037056,-73.95818491000676,112887
1 Ave & E 78 St,40.7714042599656,-73.95351659998795,75995
1 Ave & E 94 St,40.78172119999955,-73.94594000000488,29618
1 Pl & Clinton St,40.68095910001137,-73.99905708999918,17342
10 Hudson Yards,40.75295699999394,-74.00263999999927,8924
10 St & 5 Ave,40.66862730000584,-73.98700053000344,12679
10 St & 7 Ave,40.66620780000356,-73.98199885999286,17769
11 Ave & W 27 St,40.75139599999889,-74.00522600012188,117769
11 Ave & W 41 St,40.76030095995219,-73.99884221988972,91510
11 Ave & W 59 St,40.77152111950967,-73.99053819160426,88352
11 St & 35 Ave,40.76274419999878,-73.9391141000001,2282
11 St & 43 Ave,40.75190709999906,-73.94791190000191,2184
12 Ave & W 40 St,40.76087502010935,-74.00277668004084,168090
12 St & 4 Ave,40.668602999998335,-73.99043939999383,9893
14 St & 5 Ave,40.666286999978425,-73.98895053000574,20490
14 St & 7 Ave,40.66377900001331,-73.98396846000102,18583
19 St & 24 Ave,40.777455199992914,-73.92254029998392,10220
2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668815,-74.00870203971863,17888
2 Ave & 9 St,40.6724811000002,-73.99331394000671,8643
2 Ave & E 104 St,40.789210499991846,-73.9437078400317,20526
2 Ave & E 122 St,40.80067210000278,-73.9348999999938,7423
2 Ave & E 31 St,40.74290901993557,-73.97706057992382,91985
2 Ave & E 55 St,40.75792020876716,-73.96638214588165,26250
2 Ave & E 96 St,40.783963599987736,-73.94716730004303,47801
2 Ave & E 99 St,40.786258600006505,-73.94552578998855,13336
21 St & 31 Dr,40.765899999998574,-73.93081900000104,11134
21 St & 36 Ave,40.76018529999828,-73.9362725999981,2691
21 St & 38 Ave,40.7576314000023,-73.93912240000361,2539
21 St & 43 Ave,40.750525340001225,-73.94594845000711,5917
21 St & Hoyt Ave S,40.774644999998095,-73.92370599999022,5740
21 St & Queens Plaza North,40.75325964000511,-73.94335787999488,13830
23 Ave & 27 St,40.776164999997874,-73.91531750000563,4645
