station name,station latitude,station longitude,use_count
1 Ave & E 110 St,40.7923271999811,-73.93830000002244,21153
1 Ave & E 16 St,40.73221853002763,-73.9816555698984,131411
1 Ave & E 18 St,40.7338121919874,-73.9805442094803,93940
1 Ave & E 30 St,40.74144387001536,-73.97536082005475,83247
1 Ave & E 44 St,40.75001985998901,-73.96905300999889,57684
1 Ave & E 62 St,40.761227400034336,-73.96094022007146,78140
1 Ave & E 68 St,40.76500525003562,-73.95818491000676,112506
1 Ave & E 78 St,40.771404259967376,-73.95351659999166,74948
1 Ave & E 94 St,40.78172119999682,-73.94594000000487,28796
1 Pl & Clinton St,40.680959100011506,-73.99905708999776,17621
10 Hudson Yards,40.752956999994,-74.00263999999981,8797
10 St & 5 Ave,40.66862730000584,-73.98700053000344,12671
10 St & 7 Ave,40.66620780000626,-73.9819988599858,19316
11 Ave & W 27 St,40.751395999974505,-74.00522600015333,110779
11 Ave & W 41 St,40.760300959952396,-73.99884221989026,90787
11 Ave & W 59 St,40.771521124487336,-73.99053820748114,88941
11 St & 35 Ave,40.7627441999984,-73.93911410000075,2471
11 St & 43 Ave,40.751907099999066,-73.94791190000191,2169
12 Ave & W 40 St,40.76087502010705,-74.00277668002455,162500
12 St & 4 Ave,40.668602999998335,-73.99043939999609,9268
14 St & 5 Ave,40.666286999978674,-73.98895053000533,20353
14 St & 7 Ave,40.66377900001636,-73.98396846000102,20126
19 St & 24 Ave,40.777455199992936,-73.92254029998396,10209
2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668807,-74.00870203971863,15278
2 Ave & 9 St,40.672481099999516,-73.99331394000662,8299
2 Ave & E 104 St,40.789210499992244,-73.94370784003144,20248
2 Ave & E 122 St,40.80067210000293,-73.9348999999938,7365
2 Ave & E 31 St,40.742909019935155,-73.97706057992303,92297
2 Ave & E 55 St,40.75792020876706,-73.96638214588165,26218
2 Ave & E 96 St,40.78396359998899,-73.94716730004009,46564
2 Ave & E 99 St,40.78625860000734,-73.94552578998865,13127
21 St & 31 Dr,40.765899999998574,-73.93081900000104,11039
21 St & 36 Ave,40.760185299998184,-73.93627259999806,2757
